,userID,username,cap_universal,cap_english,english_astroturf,english_fake_follower,english_financial,english_other,english_overall,english_self_declared,english_spammer,universal_astroturf,universal_fake_follower,universal_financial,universal_other,universal_overall,universal_self_declared,universal_spammer,status
1203,28662619,@mrsamosbardi,0.641587017,0.691579952,2,0.9,0.4,1,1,0,0.2,2.2,1.2,0.4,1.8,0.8,0,0,active
1204,1.27444E+18,@an_glare_oh,0.346921018,0,0.2,0.2,0,0.4,0,0.1,0.2,0.3,0.1,0,0.6,0.2,0,0,active
1205,8.78939E+17,@bitcoinrandolph,0.799570189,0.797103748,1.8,1.2,0.7,2.7,2.7,0.4,0.2,2,0.8,0.4,2.2,1.8,0.2,0.3,active
1206,8.84152E+17,@zaitunireinaldo,0.805217634,0.805478436,0.4,1.6,1.8,3.8,3.8,0.2,0,1,1.8,1.3,3.2,3.2,0,0.2,active
1207,222920048,@liraxxx,0.803021245,0.796720694,1.8,2.5,2,3.3,3.3,0.3,0.2,1.2,1.8,1,2.3,2,0.6,0.2,active
1208,73537115,@ipsubnet0,0.799570189,0.797782173,2.9,2,1.6,3.5,3.5,0.3,0.1,2.8,2.3,1.2,2.6,1.8,0.1,0,active
1209,none,@loris_ayoub,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,deleted
1210,1079795330,@tikititokiti,0.376789964,0.691579952,0.8,0.4,0,2.2,1,0,0,1,0.3,0,0.8,0.3,0,0,active
1211,33981571,@kathysamira,0.805409212,0.797376598,3.4,1.4,1,2.1,3.4,0.1,0,3.3,1,0.8,1.4,3.3,0.1,0.1,active
1212,268602712,@yancym88,0.574268603,0.691579952,1,0.3,0.8,0.8,1,0.1,0,1.2,0.4,0.4,1,0.6,0,0,active
1213,9.63516E+17,@bettyja68117321,0.641587017,0.738478317,0.8,0.5,0.4,1.6,1.2,0,0.4,0.6,0.4,0,0.4,0.8,0,0.1,active
1214,8.59828E+17,@flavio_hollowx,0.721951097,0.797075908,0.6,1.6,1.2,3.4,3.4,0,0,0.6,0.8,0.4,1.6,1,0,0,active
1215,241643739,@marka11an,0.660850031,0.761187863,1.6,0.5,2,1.9,1.4,0.2,0.2,0.8,0.3,0.9,1.2,0.8,0,0,active
1216,2200288794,@mmaj50,0.819347825,0.807603545,3.9,1.2,0.1,1.4,3.9,0,0,4,0.7,0.2,1,4,0,0,active
1217,936965018,@annypjerezj,0.802386356,0.796720694,1.6,1.3,0.9,3.3,3.3,0.2,0.2,1.1,0.8,0.6,2.2,2,0,0.1,active
1218,350637125,@attaleila,0.548888816,0.447946558,1,0.1,0,0.4,0.4,0.2,0,1.1,0.4,0,0.6,0.6,0,0,active
1219,8.4466E+17,@nela_godoy,0.810212929,0.807603545,3.9,1.4,0.3,3,3.9,0,0.1,3.8,1.2,0.1,1.8,3.8,0,0.2,active
1220,2342687376,@jose_perez2050,0.801617084,0.797376598,2.2,2.2,0.3,3.4,3.4,0.1,0.3,2.2,1.6,0.3,2,1.9,0,0.4,active
1221,1630953235,@maryyumalie,0.465839247,0.3342309,1,0.4,0.2,0.3,0.2,0,0.1,1,0.4,0.2,0.6,0.4,0.2,0.2,active
1222,1.16687E+18,@mariada81030561,0.752712155,0.798312364,0.9,0.7,0.4,3.6,3.6,0.2,0.2,0.8,0.4,0.5,1.8,1.2,0.2,0,active
1223,7.60962E+17,@keepcalmswimon,0.805210997,0.796862475,3.4,1.2,1.1,3.2,3.4,0.4,0.2,3.1,0.7,0.3,2.2,3.1,0.1,0,active
1224,1.2472E+18,@cristia13427657,0.760577756,0.779581525,3.2,1.1,0,2.3,1.6,0,0,3.6,0.4,0,1.3,1.2,0,0,active
1225,492602213,@wellscharlene,0.828806942,0.819914854,4.1,3.4,2.2,3.4,4.1,0.2,0,4.1,2.2,0.8,3,4.1,0.5,0.2,active
1226,477857764,@hellerrodriguez,0.708983079,0.790758693,0.7,1.6,1,3.2,1.8,0.2,0.3,0.6,0.6,0.4,1.6,1,0.1,0.3,active
1227,2307065101,@uark73,0.811509405,0.812935016,4,1.4,0.2,3.2,4,0,0.1,3.8,1.4,0,1.5,3.8,0,0.2,active
1228,1.24357E+18,@rosietulips1,0.620704985,0.475676966,1.1,0.6,0,0.4,0.5,0,0,1.4,0.4,0,0.8,0.8,0,0,active
1229,7.67497E+17,@nvehecnycrrcom1,0.789743263,0.796720694,3,2.2,1.8,3.3,3.3,0.2,0,2.6,2.1,1.2,2.2,1.6,0.5,0,active
1230,432803346,@juanvazquez53,0.805558658,0.797782173,3.5,1.6,0.8,3.4,3.5,0.1,0,3.4,1.2,0.5,2.2,3.4,0.2,0,active
1231,98279552,@jorgegalicia95,0.288463897,0.641418422,1.8,0.4,0,1.8,0.8,0,0,1.6,0.2,0,0.8,0.2,0,0,active
1232,100781060,@titinaperez,0.803970412,0.80214817,1,2.8,2.1,3.8,3.8,0,0.2,0.6,2.9,1.5,2.7,2.1,0.2,0.5,active
1233,249471638,@carolssecrets,0.288463897,0.362645641,1.4,0.4,0,0,0.3,0.1,0,1.1,0.4,0,0.6,0.2,0,0.1,active
1234,793148808,@filampatriot,0.80912737,0.812935016,4,1,0.5,2.2,4,0.2,0.1,3.7,1.2,0.2,1.8,3.7,0,0.1,active
1235,1.24459E+18,@mag243837534,0.660850031,0.78522107,1.4,1.4,1.4,2.8,1.6,0.2,0.1,1.2,1,0.5,1.4,0.8,0.1,0,active
1236,1.11383E+18,@genialeonard14,0.786564267,0.775988747,1.8,1.1,1,2.6,1.5,0,0,2.1,1.2,0.8,2.2,1.5,0,0.1,active
1237,586675216,@truthwins4ever,0.805558658,0.799836204,3.6,1.6,0.9,3.1,3.6,0,0.4,3.4,1.6,0.6,2.7,3.4,0,0,active
1238,1957795982,@tav144,0.598241997,0.553972572,0.7,0.4,0.7,1.1,0.6,0,0,0.8,0.2,0.1,1.2,0.7,0,0.1,active
